date,buy_avg_open_price,buy_margin,buy_pnl,buy_quantity,contract_multiplier,last_price,margin,margin_rate,order_book_id,sell_avg_open_price,sell_margin,sell_pnl,sell_quantity,symbol
2017-01-05,0.0,0.0,0.0,0,15.0,4126.0,12411.0,0.04,AG88,4137.0,12411.0,825.0,5,白银主力连续
2017-01-06,0.0,0.0,0.0,0,15.0,4120.0,0.0,0.04,AG88,4137.0,0.0,0.0,0,白银主力连续
2017-01-10,4126.0,12378.0,75.0,5,15.0,4127.0,12378.0,0.04,AG88,0.0,0.0,-0.0,0,白银主力连续
2017-01-11,4126.0,12381.0,2025.0,5,15.0,4153.0,12381.0,0.04,AG88,0.0,0.0,-0.0,0,白银主力连续
2017-01-12,4126.0,12459.0,525.0,5,15.0,4133.0,12459.0,0.04,AG88,0.0,0.0,-0.0,0,白银主力连续
2017-01-13,4126.0,12399.0,300.0,5,15.0,4130.0,12399.0,0.04,AG88,0.0,0.0,-0.0,0,白银主力连续
2017-01-16,4126.0,12390.0,-375.0,5,15.0,4121.0,12390.0,0.04,AG88,0.0,0.0,-0.0,0,白银主力连续
2017-01-17,4126.0,12363.0,825.0,5,15.0,4137.0,12363.0,0.04,AG88,0.0,0.0,-0.0,0,白银主力连续
2017-01-18,4126.0,12411.0,2100.0,5,15.0,4154.0,12411.0,0.04,AG88,0.0,0.0,-0.0,0,白银主力连续
2017-01-19,4126.0,12462.0,75.0,5,15.0,4127.0,12462.0,0.04,AG88,0.0,0.0,-0.0,0,白银主力连续
2017-01-20,4126.0,12381.0,-1650.0,5,15.0,4104.0,12381.0,0.04,AG88,0.0,0.0,-0.0,0,白银主力连续
2017-01-23,4126.0,12312.0,-825.0,5,15.0,4115.0,12312.0,0.04,AG88,0.0,0.0,-0.0,0,白银主力连续
2017-01-24,4126.0,12345.0,-75.0,5,15.0,4125.0,12345.0,0.04,AG88,0.0,0.0,-0.0,0,白银主力连续
2017-01-25,4126.0,12375.0,-2025.0,5,15.0,4099.0,12375.0,0.04,AG88,0.0,0.0,-0.0,0,白银主力连续
2017-01-26,4126.0,12297.0,-6300.0,5,15.0,4042.0,12297.0,0.04,AG88,0.0,0.0,-0.0,0,白银主力连续
2017-02-03,4126.0,0.0,-0.0,0,15.0,4105.0,0.0,0.04,AG88,0.0,0.0,-0.0,0,白银主力连续
2017-02-09,0.0,0.0,0.0,0,15.0,4183.0,12510.0,0.04,AG88,4170.0,12510.0,-975.0,5,白银主力连续
2017-02-10,0.0,0.0,0.0,0,15.0,4163.0,12549.0,0.04,AG88,4170.0,12549.0,525.0,5,白银主力连续
2017-02-13,0.0,0.0,0.0,0,15.0,4206.0,0.0,0.04,AG88,4170.0,0.0,-0.0,0,白银主力连续
2017-02-14,0.0,0.0,0.0,0,15.0,4222.0,12699.0,0.04,AG88,4233.0,12699.0,825.0,5,白银主力连续
2017-02-15,0.0,0.0,0.0,0,15.0,4227.0,0.0,0.04,AG88,4233.0,0.0,0.0,0,白银主力连续
2017-02-16,0.0,0.0,0.0,0,15.0,4225.0,12678.0,0.04,AG88,4226.0,12678.0,75.0,5,白银主力连续
2017-02-17,0.0,0.0,0.0,0,15.0,4232.0,12675.0,0.04,AG88,4226.0,12675.0,-450.0,5,白银主力连续
2017-02-20,0.0,0.0,0.0,0,15.0,4215.0,12696.0,0.04,AG88,4226.0,12696.0,825.0,5,白银主力连续
2017-02-21,0.0,0.0,0.0,0,15.0,4226.0,12645.0,0.04,AG88,4226.0,12645.0,0.0,5,白银主力连续
2017-02-22,0.0,0.0,0.0,0,15.0,4223.0,12678.0,0.04,AG88,4226.0,12678.0,225.0,5,白银主力连续
2017-02-23,0.0,0.0,0.0,0,15.0,4229.0,12669.0,0.04,AG88,4226.0,12669.0,-225.0,5,白银主力连续
2017-02-24,0.0,0.0,0.0,0,15.0,4257.0,12687.0,0.04,AG88,4226.0,12687.0,-2325.0,5,白银主力连续
2017-02-27,0.0,0.0,0.0,0,15.0,4313.0,12771.0,0.04,AG88,4226.0,12771.0,-6525.0,5,白银主力连续
2017-02-28,0.0,0.0,0.0,0,15.0,4314.0,12939.0,0.04,AG88,4226.0,12939.0,-6600.0,5,白银主力连续
2017-03-01,0.0,0.0,0.0,0,15.0,4298.0,0.0,0.04,AG88,4226.0,0.0,-0.0,0,白银主力连续
2017-03-02,0.0,0.0,0.0,0,15.0,4290.0,12885.0,0.04,AG88,4295.0,12885.0,375.0,5,白银主力连续
2017-03-03,0.0,0.0,0.0,0,15.0,4201.0,0.0,0.04,AG88,4295.0,0.0,0.0,0,白银主力连续
2017-03-14,4044.0,12132.0,825.0,5,15.0,4055.0,12132.0,0.04,AG88,0.0,0.0,-0.0,0,白银主力连续
2017-03-15,4044.0,0.0,0.0,0,15.0,4048.0,0.0,0.04,AG88,0.0,0.0,-0.0,0,白银主力连续
2017-03-21,4142.0,12426.0,75.0,5,15.0,4143.0,12426.0,0.04,AG88,0.0,0.0,-0.0,0,白银主力连续
