date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-05-16,1010893.458,-308025.0,1.023,1023448.458,1.023448,1000000
2017-05-17,1011127.458,-308325.0,1.023,1023148.458,1.023148,1000000
2017-05-18,1010815.458,-309225.0,1.023,1022248.458,1.022248,1000000
2017-05-19,1024258.098,0.0,1.022,1024258.098,1.024258,1000000
2017-05-22,1024258.098,0.0,1.024,1024258.098,1.024258,1000000
2017-05-23,1011840.595,-310125.0,1.024,1024167.595,1.024168,1000000
2017-05-24,1027002.231,0.0,1.024,1027002.231,1.027002,1000000
2017-05-25,1014611.763,-308850.0,1.027,1027511.763,1.027512,1000000
2017-05-26,1015157.763,-308550.0,1.028,1027811.763,1.027812,1000000
2017-05-31,1015469.763,-308100.0,1.028,1028261.763,1.028262,1000000
2017-06-01,1016999.058,307050.0,1.028,1029281.058,1.029281,1000000
2017-06-02,1016999.058,305100.0,1.029,1027331.058,1.027331,1000000
