date,cash,daily_pnl,holding_pnl,margin,market_value,realized_pnl,total_value,transaction_cost
2017-01-03,987750.708,-765.292,-750.0,12234.0,-306600.0,0.0,999234.708,15.292
2017-01-04,986970.708,-1875.0,-1875.0,12264.0,-308475.0,0.0,997359.708,0.0
2017-01-05,985020.708,-975.0,-975.0,12339.0,-309450.0,0.0,996384.708,0.0
2017-01-06,987954.145,7169.438,3375.0,12225.0,309000.0,3825.0,1003554.145,30.562
2017-01-09,991194.145,-1350.0,-1350.0,12360.0,307650.0,0.0,1002204.145,0.0
2017-01-10,989898.145,1875.0,1875.0,12306.0,309525.0,0.0,1004079.145,0.0
