date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-10-13 15:00:00,3060.57,3064.88,3061.26,3056.69,410980.0,0.69,0.02,3058.88,3058.39,3043.4,384575.0,370091.0,362446.0
2016-10-13 14:00:00,3058.62,3061.48,3060.59,3054.91,270444.0,1.97,0.06,3057.59,3058.21,3040.28,351404.0,361741.0,358380.0
2016-10-13 11:30:00,3055.12,3061.43,3059.29,3052.64,325686.0,4.17,0.14,3056.4,3057.94,3037.2,351096.0,395898.0,354164.0
2016-10-13 10:30:00,3057.97,3063.49,3054.87,3054.67,538120.0,-3.1,-0.1,3056.25,3056.81,3034.5,392297.0,401168.0,350420.0
2016-10-12 15:00:00,3055.33,3058.97,3058.4,3049.0,377643.0,3.07,0.1,3058.43,3055.33,3032.0,373925.0,375619.0,341681.0
2016-10-12 14:00:00,3055.5,3058.76,3054.8,3053.42,245126.0,-0.7,-0.02,3057.9,3053.6,3028.45,355608.0,372230.0,338443.0
2016-10-12 11:30:00,3058.97,3059.24,3054.65,3052.03,268906.0,-4.32,-0.14,3058.84,3050.25,3025.32,372078.0,406941.0,334770.0
2016-10-12 10:30:00,3057.32,3060.47,3058.55,3052.23,531690.0,1.23,0.04,3059.48,3045.27,3022.1,440699.0,413875.0,330979.0
2016-10-11 15:00:00,3056.56,3065.74,3065.74,3056.05,446262.0,9.18,0.3,3057.37,3039.8,3018.88,410040.0,378171.0,322740.0
2016-10-11 14:00:00,3059.55,3059.61,3055.75,3053.54,286055.0,-3.8,-0.12,3052.22,3033.5,3015.49,377312.0,353552.0,319874.0
2016-10-11 11:30:00,3058.63,3061.83,3059.5,3053.62,327474.0,0.87,0.03,3049.3,3028.41,3011.46,388851.0,354801.0,315440.0
2016-10-11 10:30:00,3051.62,3059.54,3057.88,3048.11,612015.0,6.26,0.21,3041.65,3022.35,3007.28,441804.0,355020.0,310645.0
2016-10-10 15:00:00,3039.92,3047.98,3047.98,3038.28,378394.0,8.06,0.27,3031.06,3016.46,3003.29,387052.0,312431.0,299851.0
2016-10-10 14:00:00,3042.18,3044.81,3040.01,3038.54,282624.0,-2.17,-0.07,3022.24,3012.19,2999.93,346301.0,299672.0,305699.0
2016-10-10 11:30:00,3021.66,3042.29,3041.13,3021.3,343750.0,19.47,0.64,3014.79,3008.68,2998.19,329792.0,307743.0,304426.0
2016-10-10 10:30:00,3020.46,3028.49,3021.26,3014.89,592237.0,0.8,0.03,3007.53,3003.31,2996.76,320750.0,304656.0,297701.0
2016-09-30 15:00:00,3004.03,3008.99,3004.94,3001.89,338253.0,0.91,0.03,3003.04,3000.4,2996.14,268236.0,262599.0,291951.0
2016-09-30 14:00:00,3002.81,3006.67,3003.86,3002.79,174643.0,1.05,0.03,3001.86,2998.92,2997.6,237810.0,248083.0,293185.0
2016-09-30 11:30:00,3004.65,3005.33,3002.74,2999.1,200078.0,-1.91,-0.06,3002.15,2997.95,2999.41,253043.0,267310.0,296120.0
