date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-10-13 15:00:00,3058.21,3061.55,3061.26,3056.69,245893.0,3.05,0.1,3059.37,3057.63,3057.62,168992.0,183890.0,181926.0
2016-10-13 14:30:00,3060.57,3064.88,3058.38,3057.52,165088.0,-2.19,-0.07,3058.29,3057.23,3057.46,152244.0,170475.0,178257.0
2016-10-13 14:00:00,3056.6,3061.48,3060.59,3054.91,151116.0,3.99,0.13,3057.58,3056.86,3057.44,169638.0,166424.0,182342.0
2016-10-13 13:30:00,3058.62,3060.34,3057.34,3057.02,119328.0,-1.28,-0.04,3057.5,3056.46,3057.24,196627.0,165745.0,193047.0
2016-10-13 11:30:00,3056.28,3061.43,3059.29,3055.61,163535.0,3.01,0.1,3056.78,3056.58,3056.77,204818.0,173423.0,198522.0
2016-10-13 11:00:00,3055.12,3057.93,3055.83,3052.64,162151.0,0.71,0.02,3055.88,3056.15,3055.98,198788.0,190628.0,197824.0
2016-10-13 10:30:00,3059.9,3063.21,3054.87,3054.67,252060.0,-5.03,-0.16,3056.18,3057.14,3055.19,188706.0,202593.0,196244.0
2016-10-13 10:00:00,3057.97,3063.49,3060.16,3055.85,286060.0,2.19,0.07,3056.13,3057.53,3054.39,163210.0,193833.0,191245.0
2016-10-12 14:30:00,3055.33,3055.33,3053.76,3049.0,160282.0,-1.57,-0.05,3055.41,3057.09,3053.44,134863.0,180121.0,185487.0
2016-10-12 14:00:00,3057.09,3058.76,3054.8,3053.88,133388.0,-2.29,-0.07,3056.37,3057.13,3052.31,142029.0,177804.0,186115.0
2016-10-12 13:30:00,3055.5,3057.3,3057.3,3053.42,111739.0,1.8,0.06,3056.41,3057.6,3050.63,182467.0,179962.0,189322.0
2016-10-12 11:30:00,3056.9,3057.56,3054.65,3052.03,124579.0,-2.25,-0.07,3058.09,3057.69,3048.73,216480.0,186039.0,203470.0
2016-10-12 11:00:00,3058.97,3059.24,3056.55,3054.45,144328.0,-2.42,-0.08,3058.92,3058.01,3046.24,224456.0,198260.0,207925.0
2016-10-12 10:30:00,3055.11,3060.47,3058.55,3054.68,196110.0,3.44,0.11,3058.76,3058.03,3043.72,225380.0,220350.0,206938.0
2016-10-12 10:00:00,3057.32,3058.23,3054.98,3052.23,335580.0,-2.34,-0.08,3057.9,3056.97,3040.98,213579.0,223620.0,201857.0
2016-10-11 15:00:00,3057.92,3065.74,3065.74,3057.71,281802.0,7.82,0.26,3058.8,3055.82,3038.51,177456.0,205020.0,189085.0
