date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-10-13 15:00:00,3059.35,3061.55,3061.26,3058.9,64943.9,1.91,0.06,3059.24,3059.62,3059.57,43848.8,35140.8,30169.6
2016-10-13 14:55:00,3058.13,3059.66,3058.93,3057.19,47328.1,0.8,0.03,3058.86,3059.94,3059.41,36189.8,31918.3,27933.5
2016-10-13 14:50:00,3057.96,3058.3,3057.81,3056.69,43916.6,-0.15,0.0,3058.75,3060.19,3059.43,32738.8,29870.8,26445.3
2016-10-13 14:40:00,3059.35,3061.09,3060.07,3059.14,28256.1,0.72,0.02,3059.7,3060.74,3059.6,26814.4,26921.5,24521.8
2016-10-13 14:35:00,3058.21,3060.08,3059.38,3057.89,26648.7,1.17,0.04,3060.01,3060.73,3059.56,26432.8,26532.2,24218.7
2016-10-13 14:30:00,3059.35,3059.55,3058.38,3057.52,30073.1,-0.97,-0.03,3061.01,3060.65,3059.6,27646.8,26269.9,23938.6
2016-10-13 14:25:00,3060.6,3061.41,3059.63,3059.04,26737.0,-0.97,-0.03,3061.63,3060.64,3059.74,27002.9,25965.2,23902.2
2016-10-13 14:20:00,3061.59,3061.89,3061.04,3060.31,22357.2,-0.55,-0.02,3061.83,3060.21,3059.8,26294.1,25939.3,24351.5
2016-10-13 14:15:00,3064.14,3064.79,3061.6,3061.39,26347.9,-2.54,-0.08,3061.77,3059.84,3059.65,27028.5,25753.9,24663.8
2016-10-13 14:10:00,3061.54,3064.88,3064.38,3061.13,32719.0,2.84,0.09,3061.45,3059.51,3059.43,26631.6,25198.4,24677.6
2016-10-13 14:05:00,3060.57,3061.82,3061.52,3059.96,26853.4,0.95,0.03,3060.29,3058.89,3059.0,24893.0,23948.7,24258.6
2016-10-13 14:00:00,3060.64,3061.14,3060.59,3059.87,23193.1,-0.05,0.0,3059.64,3058.66,3058.68,24927.6,23019.8,24234.7
2016-10-13 13:55:00,3060.06,3061.48,3060.76,3059.83,26029.3,0.7,0.02,3058.59,3058.58,3058.33,25584.5,22385.5,24534.6
2016-10-13 13:50:00,3058.24,3060.25,3059.99,3057.79,24363.4,1.75,0.06,3057.91,3058.47,3058.02,24479.2,22122.2,24580.4
2016-10-13 13:45:00,3058.45,3058.82,3058.57,3057.4,24025.7,0.12,0.0,3057.57,3058.4,3057.88,23765.1,21905.1,24597.5
2016-10-13 13:40:00,3055.85,3058.28,3058.28,3055.24,27026.4,2.43,0.08,3057.49,3058.55,3057.77,23004.5,21607.2,24925.9
2016-10-13 13:35:00,3056.6,3057.35,3055.37,3054.91,26477.9,-1.23,-0.04,3057.69,3058.84,3057.6,21112.1,21839.2,25446.4
