DATE	USDJPY	EURUSD	USDCAD
1/24/2000	104.873	1.02047	1.451010377
1/25/2000	104.9565238	1.01977	1.449685579
1/26/2000	105.0254263	1.01858	1.448620286
1/27/2000	105.0144333	1.01647	1.44713264
1/28/2000	105.2216301	1.013585	1.446939055
1/30/2000	105.3757606	1.011065	1.446763907
1/31/2000	105.5542596	1.008105	1.446729249
2/1/2000	105.8386158	1.00516	1.447031225
2/2/2000	106.0616048	1.002585	1.446133013
2/3/2000	106.1871662	1.000385	1.445758441
2/4/2000	106.2807695	0.998085	1.445162399
2/6/2000	106.41022	0.99586	1.444632646
2/7/2000	106.6682943	0.99431	1.444896204
2/8/2000	106.8894091	0.99304	1.44498228
2/9/2000	107.0837511	0.992185	1.445060158
2/10/2000	107.2881557	0.990715	1.445473476
2/11/2000	107.4340457	0.98956	1.445933145
2/13/2000	107.5469937	0.988065	1.446263322
2/14/2000	107.6539467	0.986585	1.447181101
2/15/2000	107.8011899	0.985445	1.447887662
2/16/2000	108.0039337	0.98429	1.448460266
2/17/2000	108.2787971	0.98361	1.44866405
2/18/2000	108.5360546	0.98281	1.448696045
2/20/2000	108.7364303	0.982745	1.44879166
2/21/2000	109.0091512	0.983635	1.449516264
2/22/2000	109.133994	0.984885	1.450733763
2/23/2000	109.3374231	0.98649	1.45178769
2/24/2000	109.4795733	0.987555	1.452055529
2/25/2000	109.5558044	0.98755	1.451812145
2/27/2000	109.4866802	0.98564	1.451668131
2/28/2000	109.5669964	0.985025	1.451794976
2/29/2000	109.5339491	0.984285	1.45183355
3/1/2000	109.3364301	0.98397	1.451535116
3/2/2000	109.161532	0.98283	1.452017486
3/3/2000	109.0251956	0.98121	1.45186344
3/5/2000	108.8732722	0.97982	1.451924065
3/6/2000	108.7777225	0.97834	1.452083678
3/7/2000	108.636987	0.97696	1.452447137
3/8/2000	108.4667978	0.976105	1.452728362
3/9/2000	108.2766266	0.9754	1.453030423
3/10/2000	108.0912336	0.97433	1.453437049
3/12/2000	107.8977827	0.973095	1.453795425
3/13/2000	107.6646606	0.972105	1.454538718
3/14/2000	107.4032643	0.971145	1.455430269
3/15/2000	107.2200963	0.96979	1.456475005
3/16/2000	107.0924681	0.967955	1.458010719
3/17/2000	107.0588997	0.966465	1.45911446
3/19/2000	107.0056712	0.96551	1.460198797
3/20/2000	106.9594168	0.96542	1.460998912
3/21/2000	106.9451866	0.965895	1.461894253
3/22/2000	106.9913593	0.965365	1.462809086
3/23/2000	107.0474203	0.96573	1.463341554
3/24/2000	107.0305231	0.96591	1.463232835
3/26/2000	107.0238067	0.966515	1.463077327
3/27/2000	106.9758251	0.966825	1.4623652
3/28/2000	106.889556	0.966865	1.461520896
3/29/2000	106.7705507	0.9666	1.461128429
3/30/2000	106.6476411	0.96659	1.460640008
3/31/2000	106.2783419	0.96625	1.459569531
4/2/2000	106.1765951	0.965545	1.458648623
4/3/2000	106.0712051	0.96519	1.457891611
4/4/2000	105.9844236	0.96512	1.457454315
4/5/2000	105.8801928	0.964995	1.456877714
4/6/2000	105.7887459	0.964495	1.456584598
4/7/2000	105.7536272	0.96394	1.456671779
4/9/2000	105.7818532	0.963225	1.456779229
4/10/2000	105.8454862	0.96269	1.457266921
4/11/2000	105.9144875	0.962045	1.457946262
4/12/2000	105.9169173	0.96124	1.458408523
