,commission,entryDt,entryPrice,exitDt,exitPrice,pnl,slippage,turnover,volume
0,5.5715,2015-01-16 21:26:00,2532.0,2015-01-19 09:10:00,2533.0,-15.5715,20,50650.0,1
1,5.5594,2015-01-19 09:18:00,2527.0,2015-01-19 09:19:00,2527.0,-25.5594,20,50540.0,1
2,5.6496,2015-01-19 09:43:00,2549.0,2015-02-16 10:45:00,2587.0,-405.6496,20,51360.0,-1
3,5.6947,2015-02-16 10:46:00,2588.0,2015-02-16 11:07:00,2589.0,-15.694700000000001,20,51770.0,1
4,5.6606000000000005,2015-02-17 09:15:00,2574.0,2015-02-17 10:12:00,2572.0,-45.6606,20,51460.0,1
5,5.6397,2015-02-25 09:07:00,2565.0,2015-02-25 10:33:00,2562.0,-55.6397,20,51270.0,1
6,5.5264,2015-02-27 09:07:00,2592.0,2015-03-31 21:07:00,2432.0,1574.4736,20,50240.0,-1
7,5.3482,2015-03-31 21:09:00,2436.0,2015-03-31 21:36:00,2426.0,-125.3482,20,48620.0,1
8,5.3438,2015-03-31 21:11:00,2432.0,2015-03-31 21:36:00,2426.0,-85.3438,20,48580.0,1
9,5.109500000000001,2015-03-31 23:41:00,2426.0,2015-06-30 14:27:00,2219.0,2044.8905,20,46450.0,-1
10,4.8917,2015-06-30 14:28:00,2217.0,2015-06-30 14:39:00,2230.0,105.1083,20,44470.0,1
11,4.8741,2015-06-30 14:49:00,2214.0,2015-06-30 21:04:00,2217.0,5.1259000000000015,20,44310.0,1
12,4.7014000000000005,2015-06-30 21:09:00,2226.0,2015-07-07 09:25:00,2048.0,1755.2986,20,42740.0,-1
13,4.518800000000001,2015-07-07 09:26:00,2047.0,2015-07-07 09:32:00,2061.0,115.4812,20,41080.0,1
14,4.4935,2015-07-07 09:42:00,2041.0,2015-07-07 10:01:00,2044.0,5.506499999999999,20,40850.0,1
15,4.4748,2015-07-07 10:53:00,2029.0,2015-07-07 11:04:00,2039.0,75.5252,20,40680.0,1
16,4.4396,2015-07-07 13:35:00,2028.0,2015-07-07 14:16:00,2008.0,-224.4396,20,40360.0,1
17,4.3813,2015-07-07 14:44:00,1990.0,2015-07-07 14:58:00,1993.0,5.6187000000000005,20,39830.0,1
18,4.3626000000000005,2015-07-07 21:02:00,2008.0,2015-07-08 09:04:00,1958.0,475.6374,20,39660.0,-1
19,4.3109,2015-07-08 09:05:00,1954.0,2015-07-08 09:17:00,1965.0,85.6891,20,39190.0,1
20,4.345,2015-07-08 09:18:00,1970.0,2015-07-08 21:41:00,1980.0,-124.345,20,39500.0,-1
21,4.3615,2015-07-08 21:42:00,1980.0,2015-07-08 21:56:00,1985.0,25.6385,20,39650.0,1
22,4.460500000000001,2015-07-08 21:59:00,1990.0,2015-07-09 14:21:00,2065.0,-774.4605,20,40550.0,-1
23,4.5606,2015-07-09 14:23:00,2076.0,2015-07-09 21:01:00,2070.0,-84.5606,20,41460.0,1
24,4.5496,2015-07-09 14:24:00,2066.0,2015-07-09 21:01:00,2070.0,15.450400000000002,20,41360.0,1
25,4.554,2015-07-09 21:02:00,2070.0,2015-07-09 22:08:00,2070.0,-24.554000000000002,20,41400.0,-1
26,4.5628,2015-07-09 22:10:00,2070.0,2015-07-09 22:27:00,2078.0,55.437200000000004,20,41480.0,1
27,4.565,2015-07-09 22:10:00,2072.0,2015-07-09 22:27:00,2078.0,35.435,20,41500.0,1
28,4.5848,2015-07-09 22:31:00,2086.0,2015-07-10 11:10:00,2082.0,15.415199999999999,20,41680.0,-1
29,4.5826,2015-07-10 11:12:00,2082.0,2015-07-10 13:31:00,2084.0,-4.582599999999999,20,41660.0,1
30,4.5837,2015-07-10 11:12:00,2083.0,2015-07-10 13:31:00,2084.0,-14.5837,20,41670.0,1
31,4.4154,2015-07-10 14:02:00,2089.0,2015-08-24 21:23:00,1925.0,1615.5846,20,40140.0,-1
32,4.2372000000000005,2015-08-24 21:24:00,1923.0,2015-08-24 21:43:00,1929.0,35.7628,20,38520.0,1
33,3.9721,2015-08-24 21:45:00,1934.0,2015-11-26 13:52:00,1677.0,2546.0279,20,36110.0,-1
34,3.6905,2015-11-26 13:53:00,1676.0,2015-11-26 14:17:00,1679.0,6.3095,20,33550.0,1
35,3.6707,2015-11-26 14:43:00,1669.0,2015-11-26 21:02:00,1668.0,-33.6707,20,33370.0,1
36,3.8423000000000003,2015-11-27 09:10:00,1667.0,2015-12-21 22:06:00,1826.0,-1613.8423,20,34930.0,-1
37,4.0018,2015-12-21 22:07:00,1825.0,2015-12-21 22:44:00,1813.0,-144.0018,20,36380.0,1
38,3.9589000000000003,2015-12-21 22:57:00,1804.0,2015-12-21 23:41:00,1795.0,-113.9589,20,35990.0,1
