code,time,class,lowpoint,percentage_rise,second_exist,gap_time,percentage_second_burst,max_retracement
2350,20150413,2,15.67,0.58,1,27,0.32,0.18
2354,20150324,2,63.25,0.46,1,27,0.27,0.08
2357,20150512,2,12.02,1.28,0,,0,0
2361,20150512,2,9.14,2.8,0,,0,0
2364,20150417,2,24.52,0.22,1,14,0.43,0.19
2374,20150330,2,14.03,0.43,1,17,0.65,0.09
2376,20150508,2,14.77,0.47,1,11,0.47,0.12
2383,20150603,4,5.023,12.3,0,,0,0
2390,20150428,2,10.91,0.47,1,8,0.67,0.15
2396,20150209,2,19.07,0.21,1,25,0.47,0.09
2407,20150127,2,19.52,0.32,1,24,0.98,0.16
2408,20150325,2,19.18,0.3,1,31,0.22,0.16
2411,20150421,2,10.72,1.16,1,10,0.23,0.11
2421,20150505,2,14.8,1.15,1,10,0.18,0.06
2437,20150126,2,25.02,0.18,1,28,0.27,0.15
2439,20150312,2,14.41,0.63,1,18,1.48,0.14
2441,20150327,2,15.9,0.39,1,18,0.76,0.2
2446,20150421,2,16.04,0.73,1,6,0.65,0.16
2467,20150316,2,13.71,0.21,1,35,0.94,0.11
2482,20150106,2,15.88,0.78,1,24,0.52,0.23
2491,20150429,2,7.57,3.62,0,,0,0
2493,20150413,2,12.97,0.1,1,36,0.22,0.29
2502,20150605,2,21.58,0.76,0,,0,0
2509,20150415,2,13.44,0.67,1,27,0.22,0.19
2512,20150608,2,8.93,1.14,1,64,0.25,0.51
2513,20150515,2,13.32,1.52,0,,0,0
2517,20150417,1,15.85,2.78,1,19,0.17,0.17
2526,20150217,2,9,0.75,1,20,0.32,0.2
2529,20150423,2,13.65,0.45,1,4,0.74,0.12
2538,20150122,2,8.95,0.58,1,51,0.45,0.15
2548,20150512,2,11.82,1.6,0,,0,0
2568,20150414,2,43.45,0.72,1,10,0.21,0.14
2596,20150609,2,14.07,0.61,1,97,0.5,0.35
2601,20150608,2,36.77,0.74,0,,0,0
2612,20150514,2,41.11,1.14,1,4,0.31,0.13
2616,20150505,2,23.04,0.21,1,1,0.43,0.06
2617,20150429,2,12.87,0.44,1,17,0.78,0.22
2625,20150326,1,7.8,4.95,1,7,1.06,0.14
2630,20150609,2,13.05,0.47,0,,0,0
2637,20150514,2,20.68,0.58,1,7,0.16,0.17
2642,20150217,2,40.22,0.58,1,44,0.47,0.23
2645,20150609,2,19.69,0.95,0,,0,0
2647,20150123,2,9.25,0.28,1,14,0.97,0.15
2650,20150320,2,5.34,0.13,1,28,0.66,0.05
2656,20150609,2,19.28,0.99,0,,0,0
2657,20150323,2,51.87,0.46,1,21,1.45,0.16
2659,20150513,2,10.98,2.09,0,,0,0
2663,20150317,2,6.32,0.73,1,29,0.47,0.1
2675,20150423,2,26.45,0.77,1,6,0.53,0.19
2684,20150304,2,15.38,0.79,1,30,0.71,0.2
2685,20141125,4,4.62,0.16,1,36,3.5,0.17
2722,20150414,2,23.22,0.44,1,24,0.37,0.18
300002,20130823,2,6.92,0.34,1,12,0.37,0.09
300009,20150318,2,14.96,0.4,1,31,1.04,0.1
300018,20150326,2,14.55,1.66,1,6,0.78,0.15
300021,20150211,2,13.66,0.11,1,15,0.22,0.05
300022,20150504,2,11.32,0.33,1,7,0.53,0.2
300026,20150612,2,26.24,0.25,0,,0,0
300030,20150410,2,18.55,0.33,1,14,0.53,0.2
300038,20150527,2,40.34,0.77,0,,0,0
300053,20150410,2,33.32,0.2,1,22,1.08,0.21
300059,20150416,2,32.39,1.77,1,22,0.15,0.22
300063,20150427,2,19.51,1.27,1,6,0.23,0.12
300073,20150413,2,21.3,0.22,1,15,0.69,0.08
300095,20150506,2,8.54,1.22,0,,0,0
300098,20150609,2,9.76,0.83,1,107,0.13,0.62
300109,20141117,2,15.76,1.35,1,55,2.24,0.4
300110,20150602,2,8.42,2.15,0,,0,0
300111,20150316,2,4.74,0.51,1,31,0.71,0.16
300118,20150407,2,11.59,0.21,1,22,0.42,0.17
300130,20150410,2,38.99,0.24,1,19,0.61,0.28
300131,20150330,2,14.41,0.77,1,27,0.42,0.28
300144,20150318,2,13.7,0.85,1,22,0.61,0.17
300159,20150318,2,9.06,1.24,1,25,0.6,0.13
300164,20130603,2,7.73,0.33,1,73,0.6,0.25
300168,20150401,2,36.24,0.63,1,33,0.12,0.28
300175,20150323,2,10.32,0.48,1,33,0.52,0.17
300184,20150327,2,7.39,0.95,1,21,1.11,0.08
300185,20150604,4,10.04,0.91,0,,0,0
300199,20150515,2,33.11,0.14,1,11,0.39,0.17
300201,20150428,2,9.08,0.57,1,5,0.95,0.18
300205,20150612,2,32.58,0.37,0,,0,0
300213,20140616,2,35.39,0.48,0,,0,0
300222,20150422,2,12.99,0.33,1,8,1.01,0.17
300230,20141112,2,10.49,0.32,1,74,1.33,0.29
300243,20150413,2,9.55,0.97,1,8,0.8,0.14
300271,20150504,2,31.69,0.46,1,6,0.59,0.08
300285,20150608,2,25.03,0.6,0,,0,0
300288,20150320,2,64.39,0.49,0,,0,0
300292,20130205,2,5.71,0.25,1,105,0.89,0.25
300297,20141103,2,4.29,0.33,1,61,2.66,0.29
300309,20150602,4,15.92,0.76,0,,0,0
300322,20150529,2,12.41,1.02,0,,0,0
300329,20150327,2,13.31,0.58,1,44,0.42,0.32
300339,20150422,2,24.28,1.97,1,14,0.3,0.19
300348,20150504,2,52.26,2.14,1,8,0.43,0.16
300367,20150505,2,57.85,0.83,0,,0,0
300379,20150409,2,44.9,1.12,1,14,0.43,0.14
300388,20150319,2,15.98,1.29,1,22,0.7,0.3
300390,20150424,2,27.17,0.46,1,10,0.55,0.2
300399,20150319,2,68.22,0.7,1,23,0.42,0.27
600022,20141110,2,2.11,0.46,1,79,1.39,0.21
600035,20150327,2,4.08,0.09,1,4,1.36,0.06
600052,20140619,3,3.9,0.62,1,152,1.37,0.24
600057,20150327,2,13,0.23,1,41,0.42,0.11
600061,20141118,2,7.08,3.17,1,111,0.33,0.34
600071,20140620,2,7,1.14,1,146,1.51,0.25
600076,20150518,2,5.8,2.19,0,,0,0
600090,20150420,1,8.94,1.36,1,9,0.38,0.22
600103,20150212,2,4.03,0.21,1,32,1.77,0.2
600110,20130311,2,3.97,0.76,0,,0,0
600126,20150331,3,6.72,0.77,1,28,0.32,0.17
600136,20140612,2,13.98,0.21,1,147,0.52,0.19
600136,20130130,2,8.26,0.43,0,,0,0
600179,20150511,2,9.24,0.95,1,4,0.66,0.14
600203,20150311,2,10.43,0.45,1,26,0.7,0.12
600206,20140804,3,11.98,0.21,0,,0,0
600207,20150312,2,5.92,0.46,1,36,0.56,0.12
600221,20150414,4,4.74,0.32,1,32,0.12,0.24
600226,20151111,2,5.75,1.15,0,,0,0
600229,20141212,1,6.66,0.61,1,39,2.42,0.22
600231,20150203,2,4.75,0.49,1,51,0.38,0.23
600238,20150422,2,12.31,0.45,1,26,0.31,0.28
600241,20150121,2,9.11,0.3,1,53,0.91,0.22
600247,20130204,2,4.43,0.61,0,,0,0
600256,20150609,2,12.38,0.08,0,,0,0
600260,20140915,2,7.19,0.61,1,99,1.31,0.3
600273,20131204,1,5.94,0.39,1,87,1.03,0.27
600275,20150522,2,9.78,0.66,0,,0,0
600285,20150424,2,10.82,0.21,1,8,0.37,0.08
600288,20150116,2,11.33,0.61,1,31,1.12,0.14
600289,20150527,2,26.31,0.24,0,,0,0
600291,20150122,2,21.74,0.29,1,55,0.5,0.28
600293,20150515,2,7.89,1.63,0,,0,0
600295,20141107,2,8.02,0.21,1,72,0.61,0.17
600300,20120309,2,4.94,0.62,1,32,0.32,0.3
600303,20150602,4,8.71,0.46,1,105,0.35,0.61
600313,20141023,2,9.15,0.21,1,58,0.7,0.19
600325,20150122,2,12.46,0.32,1,34,0.48,0.19
600332,20150113,2,29.54,0.11,0, ,0,0
600338,20130301,2,7.46,0.69,0,,0,0
600351,20150323,2,10.48,0.2,1,36,0.55,0.08
600354,20140926,2,7.29,0.41,1,66,0.63,0.23
600379,20141229,2,10.46,0.46,1,73,0.76,0.24
600392,20151124,2,11.84,0.34,0,,0,0
600405,20130130,4,4.09,0.91,1,176,0.26,0.32
